catégorie;énoncé;réponse1;réponse2;réponse3;bonne_réponse
club;En quelle année l’OGC Nice a-t-il été fondé ?;1899;1904;1919;1
club;Quel nom portait l’OGC Nice à sa création ?;Gymnaste Club de Nice;Olympique Niçois;AS Nice Côte d’Azur;0
club;Quelle décennie est considérée comme l'âge d’or du club avec plusieurs titres de champion de France ?;Les années 70;Les années 50;Les années 90;1
club;Quelle saison a vu l’OGC Nice remonter en Ligue 1 après plusieurs années en seconde division ?;1995–1996;2001–2002;2004–2005;1
club;Quelle période a été l’une des plus difficiles sportivement pour le club ?;Les années 60;Les années 80–90 avec des relégations répétées;Les années 2010;1
club;Quel événement historique marque la saison 1951-1952 pour l’OGCN ?;Première victoire contre Monaco;Doublé Championnat – Coupe de France;Premier match en Coupe d’Europe;1
club;Quelle saison a vu l’OGC Nice remporter son tout premier titre de champion de France ?;1947–1948;1950–1951;1954–1955;1
club;Quel joueur fut un artisan majeur du titre de 1956 avec ses 30 buts en championnat ?;Jacques Foix;Jean Luciano;Just Fontaine;2
club;En quelle année le club a-t-il été relégué pour la dernière fois en Ligue 2 avant sa remontée en 2002 ?;1994;1997;2000;1
club;Quelle victoire historique à l’extérieur symbolise le retour de l’OGCN parmi les grands en 2016–2017 ?;Nice - marseille (3-2);PSG – Nice (0–2);Lyon – Nice (1–4);0
club;Dans les années 1990, le club est connu pour une instabilité chronique. Combien d’entraîneurs se succèdent entre 1990 et 2000 ?;4;6;9;2
club;Quelle entreprise est propriétaire du club depuis 2019 ?;Red Bull;Qatar Sports Investments;INEOS;2
club;quel fut l’adversaire lors des barrages du maintien saison 1989-1990, avec une victoire 6-0 au ray;guinguamp;strasbourg;Metz;1
club;Quelle est la particularité de l’exercice 2016–2017 pour l’OGC Nice ?;Dernier au classement à la mi-saison;Vainqueur de la Coupe de la Ligue;3e de Ligue 1 avec Balotelli, Belhanda et Seri;2
club;Quel ancien président est resté dans les mémoires pour avoir redressé le club au début des années 2000 ?;Jean-Pierre Rivère;Maurice Cohen;Gilbert Stellardo;1
club;Combien de titres de champion de France l’OGC Nice a-t-il remportés ?;2;3;4;2
club;En quelle année l’OGC Nice a-t-il remporté sa dernière Coupe de France ?;1951;1997;1981;1
club;Contre quel club le Gym a-t-il remporté la Coupe de France 1997 ?;Bordeaux;Guingamp;Metz;1
club;Lors de quelle saison l’OGC Nice a-t-il joué sa première finale de Coupe de France ?;1951–1952;1946–1947;1962–1963;0
club;Quelle performance européenne marque la saison 2017–2018 de l’OGCN ?;Demi-finale de Ligue Europa;16e de finale de Ligue Europa, éliminé par le Lokomotiv Moscou;Quart de finale contre le Real Madrid;1
club;Quel club elimina l’ogcnice en barrage de ligue des champions lors de la saison 2017-2018;Lazio Rome;SSC Napoli;Inter Milan;1
club;Lors de la saison 1951–1952, quel doublé l’OGC Nice réalise-t-il ?;Champion de France + Trophée des Champions;Champion de France + Coupe Charles Drago;Championnat + Coupe de France;2
club;Quel est le meilleur classement européen de l’OGC Nice en Ligue Europa (ex-Coupe UEFA) ?;Demi-finales;Quarts de finale;Huitièmes de finale;2
club;Lors de la Coupe d’Europe 1956–1957, quel club mythique a éliminé le Gym ?;Real Madrid;AC Milan;Barcelone;0
club;Qui est le meilleur buteur de l’histoire de l’OGC Nice en matchs officiels ?;Roger Piantoni;Victor Nurenberg;Pancho González;1
club;Quel gardien de but emblématique a marqué les années 2000 avec son charisme et ses arrêts réflexes ?;Hugo Lloris;Fabien Barthez;David Ospina;0
club;Combien de matchs Victor Nurenberg à t il joué avec l’ogcnice;309;405;206;0
club;Mario Balotelli a marqué les esprits à Nice. Combien de buts a-t-il inscrit en Ligue 1 avec le Gym ?;23;33;43;2
club;Quel est le nom de l’attaquant argentin qui a fait le bonheur des aiglons entre 2012 et 2014 ?;Dario cvitanich;Ederson;Pablito Rodriguez;0
club;Quel joueur marqua un but incroyable de 40 mètres lors du derby monegasque en 2005;Kaba Diawara;Ederson;Sammy Traore;0
club;Quel joueur niçois, né à Nice marqua le premier but de la magnifique victoire 5 à 4 contre l’OM en coupe de france 2014;Anthony Scarramozino;Alexis Bosetti;Neal Maupay;0
club;"Qui était surnommé ""Pancho"", et est considéré comme une légende du club dans les années 1950 ?";Pancho Villa;Pancho González;Pancho Segura;1
club;Quel attaquant ivoirien à fait le bonheur du club dans les années 2000 ?;Kaba Diawara;Baky Koné;Didier Drogba;0
club;Quel defenseur durant les saisons 2013-2017, passé aussi par le psg est aujourd’hui directeur sportif du Havre AC;Mathieu Bodmer;Sammy Traoré;Renato Civelli;0
club;Quel entraîneur a mené l’OGC Nice au titre de champion de France en 1951 ?;Just Fontaine;Numa Andoire;Jean Snella;1
